mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
0.5970484,-0.4382490,0.5492394,0.6728508,-0.9730687,-0.1942126,0.9509923
0.3750592,-0.2885059,0.1644661,-0.8702307,0.1073813,-0.7121991,-0.0223469
-0.0360494,-0.6499011,-0.7353534,-0.6216605,-0.6614274,-0.0493393,-0.9254082
0.9621410,0.1962539,-0.2244244,-0.1683277,0.1988605,0.8734257,-0.7936053
-0.9842090,-0.3852293,0.0947398,0.5179370,-0.8912959,-0.1726106,-0.1898059
-0.8643646,0.2786672,-0.5979375,0.8365145,-0.7090195,-0.7182482,0.6516368
0.3983617,-0.3052641,-0.4114065,-0.5360111,0.2503650,-0.0813929,0.2033558
0.5889376,0.8523133,0.5863529,0.4408556,-0.0339085,0.6168098,-0.2204462
-0.8350480,0.2655633,-0.4305550,-0.4224659,-0.4493458,-0.8330065,0.7935824
-0.3406417,-0.1918371,-0.2137421,-0.5521618,-0.3724403,0.3649631,-0.6943116
-0.0814599,0.2548491,0.7506342,-0.8434913,-0.7837325,-0.4133847,-0.3207858
0.4666325,0.6924674,0.9628277,-0.1411055,0.3744903,0.1605176,-0.3933513
-0.6594182,-0.5888913,0.0722783,-0.6513277,-0.7324369,-0.6278490,-0.3137231
-0.1817827,-0.1940919,-0.4783220,0.1138607,0.5335275,0.0836359,-0.7274306
-0.8389129,-1.0037436,-0.6539500,0.2778916,-0.9046862,-0.4644169,0.3965290
-0.6884186,-0.0640913,-0.4451008,0.6951072,-0.3725792,0.9583132,-0.1662160
-0.9980890,0.5669100,0.3537498,-0.7334943,0.8961583,-0.1733648,-0.1519735
-0.8362786,0.5677511,0.0413849,-0.2883042,0.7379308,-0.9858373,-0.5404856
0.2714583,0.3709977,-0.1127452,0.1886314,0.5463977,0.3103416,-0.4878275
0.6417115,0.8299864,1.4009227,1.3190448,-0.0318769,0.9844447,0.7315067
0.5955439,0.9735525,-0.9318479,1.0674289,0.0615886,-0.9942766,0.9399476
-0.0422530,-0.6520692,-0.5508872,-0.3268281,-0.9688551,-0.6777225,-0.8965929
0.7690756,-0.4464409,-0.2895764,-0.2229263,0.4342389,0.2950053,-0.5269207
-0.0193635,-0.6690167,-0.0677715,-0.5898318,-0.5487283,-0.1060467,-0.4243592
0.4193947,-0.2110239,-0.7566326,-0.1788646,-0.1788441,-0.1275619,-0.3876066
0.8827446,0.2334215,-0.2775011,0.3214714,0.7105200,0.3403151,0.9619600
