mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
-0.7054940,0.8327034,-0.3821324,0.2143644,0.6309024,0.7207615,-0.6627860
-0.3509570,-0.4726687,0.5431949,-0.1500622,0.9196668,0.9994131,-0.2440059
-0.7835139,0.9930036,-0.3258987,-0.4293642,0.3800899,-0.1559978,0.0344176
-0.9938582,0.4752283,0.4775923,0.3553508,-0.3659380,-0.1269354,-0.2261807
0.8354983,-0.1892154,0.0105737,-0.5321149,0.8853577,0.1787068,0.6757616
0.5162601,-0.1170478,-0.9587927,-0.7660741,-0.0330325,0.0564642,0.1372439
-0.1133658,-0.0147054,0.7159083,0.4313940,-0.1411655,-0.3546621,0.6565467
-0.7610756,0.5631096,-0.6930237,-0.3981791,0.1475369,-0.7679765,0.7135080
0.7815988,0.3416853,-0.3083987,0.9906486,0.4731940,0.4085476,0.7471015
0.3585517,-0.1693843,0.6407831,-0.1051308,0.4867227,0.4358388,0.0401150
-0.5463098,-0.2336065,-1.2873427,0.0620467,0.5481803,-0.9294030,-0.5565553
-0.5929852,-0.6814276,-1.0045313,-0.4085573,-0.7947249,-0.2090444,-0.1089945
0.3528118,-0.4129872,-0.3495656,0.0101647,-0.8719328,0.0918407,-0.2484921
0.6012613,-0.4557903,-0.0406542,0.3771255,0.0876428,0.9214725,0.8346249
-0.4256345,0.7821192,-0.0992106,-0.2877542,0.8496143,0.0520990,-0.6316199
0.3977946,0.5420116,-0.2322669,0.5301839,0.8386308,-0.0881838,-0.5492514
-0.9560941,0.5656484,0.8148872,0.1622823,-0.2742491,0.9462675,-0.4688715
-0.1461819,0.3073564,0.6732593,-0.3374745,0.5384966,0.7812458,0.4148923
-0.3738606,0.7327323,-0.1883542,-0.1852147,0.0600296,-0.8757428,-0.7714393
-0.0903561,-0.1741177,-0.1986764,-1.1364373,-0.7009479,0.4087657,-0.8877522
-0.8623171,-1.1677411,0.0153718,-0.5292571,-0.9766463,0.9047505,0.5783066
-0.2508954,0.7955797,-0.6945283,0.1319238,-0.1108739,0.3920714,-0.9419979
-0.5723773,0.1113351,0.3341005,-0.3191042,-0.1239645,-0.2775884,-0.7457329
0.9360652,-0.6418182,-0.4772878,-0.0777170,-0.9769750,0.0797685,0.1531477
-0.6779230,-0.6069077,0.6795912,-0.7195665,-0.1908840,0.8283919,-0.3586513
-0.1675303,1.0252230,-1.1157997,0.6738214,0.5841603,-0.6709098,0.1844971
-0.5267136,0.6683995,0.1001960,0.3782449,-0.1055213,-0.2846065,0.9546713
0.7705142,0.0800420,-0.9451783,0.4827223,-0.7155260,-0.3082339,-0.4477114
-0.6925010,0.4015687,0.6908510,-0.3257562,-0.7399312,-0.0291682,0.0893360
0.0691849,-0.4345934,1.2058548,1.1432680,-0.4676338,0.9503400,0.4832289
-0.8834736,-1.2202729,0.1228387,-0.1648261,-0.9994083,0.9102252,0.4907221
-0.1049296,-0.8426685,0.7725599,-0.6483330,-0.9365761,0.6543317,-0.6278359
-0.6521021,-1.0950862,-0.2606027,-0.2021167,-0.8823675,-0.3701110,0.2849730
-0.6222987,0.3006929,-1.0731943,0.6211557,-0.6000555,-0.8950062,0.3485408
-0.0676894,-1.2772841,0.0815176,0.3681619,-0.6652361,0.4994957,0.6386499
-0.6646444,-0.0726091,-0.0832453,0.6784316,-0.9646603,-0.4252347,0.8960106
-0.9012364,-0.9833041,-0.6355100,-0.5023079,-0.4248052,0.1926274,0.1020584
-0.3071727,1.0341341,-0.7322971,-0.1707641,0.4232371,-0.2386596,-0.4825853
0.8231816,-0.1728320,0.7148191,0.1576567,-0.0783321,-0.3022747,0.8043293
0.2564319,-0.4993079,0.2291550,0.5028932,0.6069421,-0.4276488,-0.1777865
0.6422818,0.3352232,-0.2885767,0.3348994,0.3762134,-0.0136010,-0.8122931
0.9514083,-1.3202032,0.6281639,0.0016176,-0.9984573,0.6767968,0.7147642
0.4247798,-0.4096265,-1.2187541,-0.2503118,0.3044715,-0.9018655,-0.9965464
-0.7738606,-0.2075995,0.9331642,0.5197505,-0.0069191,0.2507621,0.0743588
-0.3999771,0.8082271,0.7039719,-0.2660196,-0.0297702,-0.3852034,0.9833500
-0.6535567,0.9913080,-0.5985323,-0.7311043,0.7802219,0.4608225,-0.0579128
0.7817647,0.4254978,-0.3986331,-0.0662026,0.5757565,-0.1109697,-0.5454941
-0.1197720,0.3786775,-0.9091694,-0.0991631,0.7830247,-0.7342577,-0.4110612
-0.2238945,0.6863121,0.9432339,0.6853454,0.3396177,0.5598701,0.6184331
-0.6901524,-0.4374023,0.9882031,-0.3666375,0.7758623,0.7728401,-0.0458575
0.5560844,-0.0806965,0.6727688,0.1100460,-0.6287181,-0.4469190,-0.4556065
0.9470384,0.1567497,0.2273289,0.2940834,-0.5707238,0.4568589,0.9336339
-0.7876992,0.8421532,-0.8844912,-0.3293265,0.2391056,-0.8141295,-0.6354653
-0.4212766,1.2059438,1.2753408,0.1610019,0.9204074,0.5847509,0.5448618
0.6962698,0.1532175,-0.8033789,0.0474556,-0.4087464,-0.6047660,-0.4097969
-0.0374646,-0.3564717,-0.2986552,0.2779940,-0.6095736,-0.8665039,0.7368402
-0.1802974,0.7468320,0.2669985,-0.4577917,0.3129562,-0.8069530,-0.9795902
-0.4479382,-1.0587534,-0.9311001,-0.3595369,-0.8753418,-0.6320876,-0.9806439
-0.9549344,1.1077904,0.0958295,0.7381792,0.3102543,-0.9367777,-0.0063106
0.9015080,-0.3381578,0.4431368,0.2508523,0.4067714,-0.2815108,0.7736173
0.7971978,-0.4268450,0.6009225,-0.0586477,-0.5576597,0.1809318,0.6489040
0.7552965,0.7504269,0.1964433,-0.4735707,0.7528964,-0.9457417,0.4381434
0.8775545,-0.8904111,0.4683580,1.2545995,-0.6251661,0.0217175,0.6639555
0.6850883,0.3566376,-0.7215868,0.3119162,0.5433961,-0.7584627,-0.5493603
-0.0498325,0.3660325,-0.4083851,-0.0705016,0.8120118,0.7347146,0.3642657
-0.7456480,-0.4395407,-0.1455888,-1.3318504,-0.7103748,-0.3175166,-0.6829933
-0.9574784,-0.1838023,0.8614758,1.3414218,0.1589123,0.2126496,0.8426963
0.5337462,-0.6059789,0.0887997,0.1215500,0.3193069,-0.8357035,-0.1945692
-0.1372970,-0.4112366,0.4962341,0.5929890,0.3658603,0.4803276,-0.4397643
0.1778722,-0.2196135,0.8933371,0.6531608,-0.8693115,-0.0623289,0.4418727
-0.5796863,0.2986023,1.0158945,-0.8457081,-0.6431039,0.5140294,-0.6170886
0.5158083,-0.2927983,-0.4082621,-0.3162510,-0.0389539,0.7322594,-0.7316109
-0.7196470,0.5477496,-0.2612348,0.1210194,-0.6976101,-0.6701095,-0.0440735
0.6682502,0.8228484,0.7364938,-0.5147045,0.0252603,0.4406637,-0.7216533
0.1559489,-0.1224206,0.9597674,0.0958118,0.9984893,0.4790987,-0.9609020
-0.6446146,0.3530315,-0.7541819,0.8315687,0.7198070,-0.3523828,-0.0792516
-0.3191469,-0.9819057,-0.1793838,-0.4866631,-0.7235675,-0.7370425,-0.8957379
-0.4211776,-0.7056193,-0.1516361,-0.7063285,-0.5969338,-0.4236492,0.0931951
0.4283265,-1.2853122,0.4174223,-0.8354549,-0.6046507,0.0917610,-0.8394619
-0.6061615,-0.1471463,-0.9895402,-0.4405677,0.5639877,-0.3783545,-0.3795823
0.2837948,0.5938318,0.4063174,0.9275738,0.6491392,-0.2696965,-0.0741460
0.9255717,0.2863152,-0.4247315,-0.6198726,0.5861088,-0.9096954,-0.2485332
0.9891750,-0.4915100,0.9527637,-0.0816101,-0.3163300,0.2162035,-0.9982231
0.0790193,-0.7526237,-1.1567085,0.0838988,-0.1211759,-0.6380489,-0.7779182
-0.5571883,-0.3899741,-0.4656683,1.0722336,-0.7471409,-0.6163346,0.6912543
0.9019983,-0.3324164,-0.0592798,0.4935516,-0.8927703,0.6472243,-0.6680359
0.6933385,0.4396220,0.0474773,0.7325218,-0.5958155,-0.0719074,0.1000149
0.0878544,-1.1295737,0.2338452,-0.5132610,-0.5477395,0.2641069,0.6397315
0.3310845,0.4308856,0.7139699,1.0241463,-0.3903455,-0.2956873,0.5005027
-0.1374865,-0.3110485,0.5961894,-0.4394478,-0.7980531,0.8088653,-0.4079182
-0.6908234,0.5528994,-0.5722160,-0.6549698,0.1936187,-0.9925232,0.6850286
